Unnamed: 0,Unnamed: 1,Office of the University Controller ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Accounting & Property Services,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Florida State University,,,,,,6300A University Center,,,,
,,,,,,,,"Tallahassee, FL 32306-2393",,,,
,,,,,,,,Ph: (850) 644-9756,,,,
,,,,,,,,PropertyServices@admin.fsu.edu,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PROPERTY ACCOUNTABILITY RELEASE FORM ADDENDUM,,,,,,,,,,,,
,,,,,,,,,,,,
Seq,Tag #,Capital Asset?,Category,Description,Serial #,Disposition Method,Fund,Scrub Initials,,,,
1,,,,LG DVD Writer,502HVLZ05000,,,,,COMPUTER,,A. Surplus
2,,,,Samsung BluRay,ZX2XT4CB02077B,,,,,ELECTRONICS,,B. Scrap/Recycle
3,,,,iPad Box 1,,,,,,FURNITURE,,C. Trade-In
4,,,,iPad Box 2,,,,,,OFFICE EQUIPMENT,,D. Cannibalize
5,,,,Mac Mini,C07G48EHDJD1,,,,,SCIENTIFIC EQUIPMENT,,E. Transfer to Other ST Agency
6,,,,Dell Monitor,,,,,,VEHICLE,,F. Abandoned/Non-Recoverable
7,,,,Dell Tower,1X7VNS1,,,,,OTHER (please describe),,G. Destroyed *
8,,,,Dell Laptop,7GZ3X1,,,,,,,H. Missing *
9,,,,Dell Laptop,,,,,,,,I. Stolen *
10,,,,Dell Laptop,4MH2BS1,,,,,,,J. Other (Documentation Required)
11,,,,Dell Laptop,,,,,,,,
12,,,,Dell Laptop ,,,,,,,,
13,,,,Lenovo Tower,,,,,,,,
14,,,,Dell Laptop,,,,,,,,
15,,,,Dell Laptop,,,,,,,,
16,,,,Dell Laptop,,,,,,,,
17,,,,MacBook,,,,,,,,
18,,,,Dell Laptop,,,,,,,,
19,,,,Dell Laptop,,,,,,,,
20,,,,Dell Laptop,N/A ,,,,,,,
21,,,,Dell Lapop,,,,,,,,
22,,,,Dell Laptop,BMHYV32,,,,,,,
23,,,,Miscelmiscellaneous Box,N/A ,,,,,,,
24,,,,ELO TV,C15C000164,,,,,,,
25,,,,ELO computer,H14C017147,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
