Unnamed: 0,Unnamed: 1,Office of the University Controller ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Accounting & Property Services,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Florida State University,,,,,,6300A University Center,,,,
,,,,,,,,"Tallahassee, FL 32306-2393",,,,
,,,,,,,,Ph: (850) 644-9756,,,,
,,,,,,,,PropertyServices@admin.fsu.edu,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PROPERTY ACCOUNTABILITY RELEASE FORM ADDENDUM,,,,,,,,,,,,
,,,,,,,,,,,,
Seq,Tag #,Capital Asset?,Category,Description,Serial #,Disposition Method,Fund,Scrub Initials,,,,
1,,,,Dell Monitor,,,,,,COMPUTER,,A. Surplus
2,,,,Dell Monitor,,,,,,ELECTRONICS,,B. Scrap/Recycle
3,,,,Dell Monitor,,,,,,FURNITURE,,C. Trade-In
4,,,,HP AdvanceStack Hub-16U (Ethernet),SG90504309,,,,,OFFICE EQUIPMENT,,D. Cannibalize
5,,,,Cisco ASA 5506-X Switch,JMX2036Y078,,,,,SCIENTIFIC EQUIPMENT,,E. Transfer to Other ST Agency
6,,,,LANTRONIX EPS2-100 E.D.P.,9840304,,,,,VEHICLE,,F. Abandoned/Non-Recoverable
7,,,,HP Officejet H470 Printer,CN05M281C9,,,,,OTHER (please describe),,G. Destroyed *
8,,,,HP DeskJet 3752 Printer,J9V86-80079,,,,,,,H. Missing *
9,,,,Dell Monitor,,,,,,,,I. Stolen *
10,,,,Dell Monitor,,,,,,,,J. Other (Documentation Required)
11,,,,Dell Dock,,,,,,,,
12,,,,VOIP Phone,,,,,,,,
13,,,,Dell Monitor,,,,,,,,
14,,,,Dell Monitor,,,,,,,,
15,,,,Apple Monitor,,,,,,,,
16,,,,Brocade Network Switch,,,,,,,,
17,,,,Dell Latitude 5580,3Z14PQ2,,,,,,,
18,,,,Dell Monitor ,,,,,,,,
19,,,,Planar Monitor,,,,,,,,
20,,,,Sony DVD Player ,,,,,,,,
21,,,,HP Thin Client,MXL6051BPD,,,,,,,
22,,,,HP Thin Client,MXL6051BND,,,,,,,
23,,,,HP Thin Client,MXL6051BNF,,,,,,,
24,,,,HP Thin Client,MXL6051BNT,,,,,,,
25,,,,HP Thin Client,MXL6051BP8,,,,,,,
26,,,,HP Thin Client,MXL6051BP4,,,,,,,
27,,,,HP Thin Client,MXL6051BNX,,,,,,,
28,,,,Dell PC,7KKHTV1,,,,,,,
29,,,,Dell Latitude E6430 ATG,99SWH12,,,,,,,
30,,,,Dell Latitude E6420,1N2K6R1,,,,,,,
31,,,,Dell Latitude 3340,HD0LM52,,,,,,,
32,,,,iPad Pro,DLXW105NHPQG,,,,,,,
33,,,,Dell Latitude 3340,3F0LM52,,,,,,,
34,,,,Surface Book,000918393154,,,,,,,
35,,,,Surface Pro,004318514753,,,,,,,
36,,,,Dell Latitude 5480,HXK0TQ2,,,,,,,
37,,,,Dell E310dw printer,,,,,,,,
38,,,,Samsung Monitor,,,,,,,,
39,,,,Westinghouse Monitor,,,,,,,,
40,,,,Panasonic DVD Player,,,,,,,,
41,,,,Panasonic System Controller,,,,,,,,
42,,,,Panasonic Multiplex Unit,,,,,,,,
43,,,,Thunderbolt 2 Express Dock HD,,,,,,,,
44,,,,Surface Pro,054877484153,,,,,,,
45,,,,Surface Pro,037661554853,,,,,,,
46,,,,Surface Pro,03653883153,,,,,,,
47,,,,Surface Pro,015076212253,,,,,,,
48,,,,Surface Pro,026133602153,,,,,,,
49,,,,Surface Pro,001365611353,,,,,,,
50,,,,Surface Pro,034132154153,,,,,,,
51,,,,Surface Book,014916714454,,,,,,,
52,,,,Surface Book,047040692554,,,,,,,
53,,,,Surface Book,020692214854,,,,,,,
54,,,,Dell Latitude E5570,D9B02G2,,,,,,,
55,,,,Dell Optiplex 7440 AIO,587KXG2,,,,,,,
56,,,,Sharp Blu-Ray Player,,,,,,,,
57,,,,Mitsubishi VCR,,,,,,,,
58,,,,Pioneer Integrated Amplifier,,,,,,,,
59,,,,JBL Amplifier,,,,,,,,
60,,,,Toshiba TV,,,,,,,,
61,,,,Dell Dock,,,,,,,,
62,,,,Dell Monitor,,,,,,,,
63,,,,Dell Precision T3610,93C8Y12,,,,,,,
64,,,,Samsung TV,,,,,,,,
65,,,,Samsung TV,,,,,,,,
66,,,,Dell Latitude 5400,5DJ9453,,,,,,,
67,,,,Dell Latitude 3340,9D0LM52,,,,,,,
68,,,,Dell Monitor,,,,,,,,
69,,,,Dell Optiplex 7440 AIO,8WZ7KH2,,,,,,,
70,,,,Dell Optiplex 7440 AIO,8WZ9KH2,,,,,,,
71,,,,Dell Optiplex 3020,C8YLQ02,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
