Unnamed: 0,Unnamed: 1,Office of the University Controller ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Accounting & Property Services,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Florida State University,,,,,,6300A University Center,,,,
,,,,,,,,"Tallahassee, FL 32306-2393",,,,
,,,,,,,,Ph: (850) 644-9756,,,,
,,,,,,,,PropertyServices@admin.fsu.edu,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PROPERTY ACCOUNTABILITY RELEASE FORM ADDENDUM,,,,,,,,,,,,
,,,,,,,,,,,,
Seq,Tag #,Capital Asset?,Category,Description,Serial #,Disposition Method,Fund,Scrub Initials,,,,
1,,,,HP Network Switch,SG62FLY9B4,,,,,COMPUTER,,A. Surplus
2,,,,Dell PC Tower,8DYH7Y1,,,,,ELECTRONICS,,B. Scrap/Recycle
3,,,,B210 Xerox Printer,,,,,,FURNITURE,,C. Trade-In
4,,,,Macbook Pro,C1MK3ED4DTY4,,,,,OFFICE EQUIPMENT,,D. Cannibalize
5,,,,Dell OptiPlex 9010,7KKHTV1,,,,,SCIENTIFIC EQUIPMENT,,E. Transfer to Other ST Agency
6,,,,Dell Monitor,,,,,,VEHICLE,,F. Abandoned/Non-Recoverable
7,,,,Dell Monitor,,,,,,OTHER (please describe),,G. Destroyed *
8,,,,Chief TV Mount,,,,,,,,H. Missing *
9,,,,MN1000 Optical Receiver,,,,,,,,I. Stolen *
10,,,,Optiplex 9020,23DLY91,,,,,,,J. Other (Documentation Required)
11,,,,Dell Monitor,,,,,,,,
12,,,,Junk Box,,,,,,,,
13,,,,"Samsung TV 65""",,,,,,,,
14,,,,Microsoft Surface Laptop,028820174654,,,,,,,
15,,,,Optiplex 9010,5HHCXF1,,,,,,,
16,,,,Dell Monitor,,,,,,,,
17,,,,Dell Monitor,,,,,,,,
18,,,,Dell Monitor,,,,,,,,
19,,,,Dell Monitor,,,,,,,,
20,,,,Dell Monitor,,,,,,,,
21,,,,Dell Monitor,,,,,,,,
22,,,,Dell Monitor,,,,,,,,
23,,,,Optiplex 780,GD52GN1,,,,,,,
24,,,,Optiplec 7010,5THCDZ1,,,,,,,
25,,,,Dell Laser Printer 1320c,,,,,,,,
26,,,,TV stand,,,,,,,,
27,,,,Junk Box,,,,,,,,
28,,,,Dell Monitor,,,,,,,,
29,,,,Dell Monitor,,,,,,,,
30,,,,Dell Monitor,,,,,,,,
31,,,,Dell Monitor,,,,,,,,
32,,,,Dell Monitor,,,,,,,,
33,,,,"Samsung TV 65""",,,,,,,,
34,,,,Optiplex 5250 AIO,GYVT8N2,,,,,,,
35,,,,Optiplex 5250 AIO,GYVY8N2,,,,,,,
36,,,,Optiplex 5250 AIO,GYWT8N2,,,,,,,
37,,,,Optiplex 5250 AIO,GSS1XK2,,,,,,,
38,,,,Optiplex 5250 AIO,GYVW8N2,,,,,,,
39,,,,Optiplex 5250 AIO,GVYW8N2,,,,,,,
40,,,,Optiplex 5250 AIO,GYWS8N2,,,,,,,
41,,,,Optiplex 5250 AIO,GYWV8N2,,,,,,,
42,,,,Optiplex 5250 AIO,GYVX8N2,,,,,,,
43,,,, Surface ,022356393054,,,,,,,
44,,,,Dell Monitor,,,,,,,,
45,,,,Dell Monitor,,,,,,,,
46,,,,Dell Latitude E6430,46VHZW1,,,,,,,
47,,,,Dell OptiPlex 990,JRDXZQ1,,,,,,,
48,,,,Dell Optiplex 7010,33JT6Z1,,,,,,,
49,,,,Dell Optiplex 7040,61SWJH2,,,,,,,
50,,,,Dell TB16 Dock,5CSQ9G2,,,,,,,
51,,,,Dell Laptop Dock,,,,,,,,
52,,,,Dell Laptop Dock,,,,,,,,
53,,,,Apple TV,,,,,,,,
54,,,,iPhone 11,C6KZQ32XN72Y,,,,,,,
55,,,,iPhone XR,FFWCJ4V6KXKN,,,,,,,
56,,,,iPhone X,F2LW29LDJCL8,,,,,,,
57,,,,AT&T Wifi Hotspot Router ZTE,,,,,,,,
58,,,,AT&T Wifi Hotspot Router ZTE,,,,,,,,
59,,,,AT&T Wifi Hotspot Router NETGEAR,,,,,,,,
60,,,,iPad,DMQP2BFQG5VW,,,,,,,
61,,,,iPad,DMTM4MAEFK10,,,,,,,
62,,,,Dell Monitor,,,,,,,,
63,,,,Dell Monitor,,,,,,,,
64,,,,iPad,G4JDX29D5X,,,,,,,
65,,,,iPad,DMPY26STJMVR,,,,,,,
66,,,,iPad,DMQYW7J6JMVR,,,,,,,
67,,,,iPad,DMQYW3P0JMVR,,,,,,,
68,,,,iPad,DMQYW5WTJF8K,,,,,,,
69,,,,iPad,GG7YM6DCJMVR,,,,,,,
70,,,,iPad,F9FTKNCVHLFC,,,,,,,
71,,,,iPad,GG7XV9HYJMVR,,,,,,,
72,,,,iPad,GG7Z37LVJF8J,,,,,,,
73,,,,iPad,DMPZ89MUJF8K,,,,,,,
74,,,,iPad,DMPZ9BV3JF8K,,,,,,,
75,,,,iPad,DMPX3J7MJF8J,,,,,,,
76,,,,iPad,DMPFTUKWQ1GC,,,,,,,
77,,,,iPad,DMQS74ERG5V,,,,,,,
78,,,,Surface,029355443553,,,,,,,
79,,,,Intel Compute Stick,BTCC751003NM,,,,,,,
80,,,,Dell E310dw,054497684153,,,,,,,
81,,,,iPad,GCTV22GTHLJJ,,,,,,,
82,,,,iPad,DMQFTC8CQ1GC,,,,,,,
83,,,,iPad,DMPZ9BK5JF8K,,,,,,,
84,,,,iPad,DMPZ9N0JF8K,,,,,,,
85,,,,Surface,003155791353,,,,,,,
86,,,,iPad,F9FZ24G3MF3M,,,,,,,
87,,,,iPad,F6MC25W3MF3M,,,,,,,
88,,,,iPad,F6MC20KPMF3M,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
