Unnamed: 0,Unnamed: 1,Office of the University Controller ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Accounting & Property Services,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Florida State University,,,,,,6300A University Center,,,,
,,,,,,,,"Tallahassee, FL 32306-2393",,,,
,,,,,,,,Ph: (850) 644-9756,,,,
,,,,,,,,PropertyServices@admin.fsu.edu,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PROPERTY ACCOUNTABILITY RELEASE FORM ADDENDUM,,,,,,,,,,,,
,,,,,,,,,,,,
Seq,Tag #,Capital Asset?,Category,Description,Serial #,Disposition Method,Fund,Scrub Initials,,,,
1,,,,HP Officejet Pro 8210,,,,,,COMPUTER,,A. Surplus
2,,,,Daktronics Clock,,,,,,ELECTRONICS,,B. Scrap/Recycle
3,,,,Daktronics Clock,,,,,,FURNITURE,,C. Trade-In
4,,,,Brother HL-2280DW,,,,,,OFFICE EQUIPMENT,,D. Cannibalize
5,,,,Dell Monitor,,,,,,SCIENTIFIC EQUIPMENT,,E. Transfer to Other ST Agency
6,,,,Dell Dock,,,,,,VEHICLE,,F. Abandoned/Non-Recoverable
7,,,,Junk Box - Miscellaneous,,,,,,OTHER (please describe),,G. Destroyed *
8,,,,Junk Box - Miscellaneous,,,,,,,,H. Missing *
9,,,,Dell Monitor,,,,,,,,I. Stolen *
10,,,,Junk Box - Miscellaneous,,,,,,,,J. Other (Documentation Required)
11,,,,Junk Box - Miscellaneous,,,,,,,,
12,,,,Junk Box - Miscellaneous,,,,,,,,
13,,,,Dell Optiplex 7040,8MMLXG2,,,,,,,
14,,,,Dell Optiplex 5050,8HXJXK2,,,,,,,
15,,,,Dell Optiplex 3050,8KR4JH2,,,,,,,
16,,,,Dell Optiplex 5050,F26Z8N2,,,,,,,
17,,,,Dell Optiplex 5050,1HF4HK2,,,,,,,
18,,,,Dell Latitude E6400,J6921M1,,,,,,,
19,,,,Dell Optiplex 5040,7PTWPD2,,,,,,,
20,,,,Dell Optiplex 7440 AIO,6MH8QD2,,,,,,,
21,,,,Dell Latitude 5400,FM17453,,,,,,,
22,,,,Dell Latitude 3340,CD0LM52,,,,,,,
23,,,,Dell Latitude E5540,8P0WTZ1,,,,,,,
24,,,,Dell Latitude E5570,HWH02G2,,,,,,,
25,,,,Dell Latitude E6540,CDFBV32,,,,,,,
26,,,,Dell Latitude E6420,85292Q1,,,,,,,
27,,,,Intel NUC,G6MY619003G9,,,,,,,
28,,,,NEC Versa Daylite,NC2687AAM47X,,,,,,,
29,,,,Dell Precision T3610,93CBY12,,,,,,,
30,,,,Dell Precision T3610,HXB9HK2,,,,,,,
31,,,,HP Laserjet Pro 400MFP,,,,,,,,
32,,,,Dell Printer Toner,,,,,,,,
33,,,,Dell Monitor,,,,,,,,
34,,,,Dell Monitor,,,,,,,,
35,,,,Dell Monitor,,,,,,,,
36,,,,Dell Monitor,,,,,,,,
37,,,,Macbook Pro,C02TW03CHTDG,,,,,,,
38,,,,Macbook Air,C1MRKRADH3QF,,,,,,,
39,,,,Dell Optiplex 790,D08NTV1,,,,,,,
40,,,,Dell Optiplex 9010,1KS3TW1,,,,,,,
41,,,,Dell Optiplex 7010,JQS3CZ1,,,,,,,
42,,,,APC Smart UPS C 1000,,,,,,,,
43,,,,Smart UPS 2200,,,,,,,,
44,,,,Junk Box,,,,,,,,
45,,,,Dell Inspiron 13-7359,F2MGB82,,,,,,,
46,,,,Dell Optiplex 3020,GRNTN02,,,,,,,
47,,,,Dell Latitude E5570,7B0CR72,,,,,,,
48,,,,Dell Latitude E6530,6SJDNX1,,,,,,,
49,,,,Surface Pro 4,091733554753,,,,,,,
50,,,,Surface Pro 4,004268163253,,,,,,,
51,,,,Dell Latitude E5570,2RRQ3G2,,,,,,,
52,,,,Dell Latitude E6540,B7WYR32,,,,,,,
53,,,,Dell Latitude ,3VYTQ72,,,,,,,
54,,,,iPad,F9FTL04SHLFC,,,,,,,
55,,,,Optiplex 9020,F9M8Z1,,,,,,,
56,,,,Surface Pro 4,014757455253,,,,,,,
57,,,,Dell Latitude E5570,1SRQ3G2,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
